fecha,Reservas Internacionales del BCRA (en millones de dolares - cifras provisorias sujetas a cambio de valuacion)
12/03/2024,28272.0
13/03/2024,28488.0
14/03/2024,28489.0
15/03/2024,28209.0
18/03/2024,28176.0
19/03/2024,27979.0
20/03/2024,28041.0
21/03/2024,28107.0
22/03/2024,28025.0
25/03/2024,28266.0
26/03/2024,27644.0
27/03/2024,27127.0
03/04/2024,27882.0
04/04/2024,28400.0
05/04/2024,28765.0
08/04/2024,28904.0
09/04/2024,29043.0
10/04/2024,29047.0
11/04/2024,29181.0
12/04/2024,29321.0
15/04/2024,29240.0
16/04/2024,29360.0
17/04/2024,29471.0
18/04/2024,29717.0
19/04/2024,29850.0
22/04/2024,29907.0
23/04/2024,29899.0
24/04/2024,30023.0
25/04/2024,30096.0
26/04/2024,30141.0
29/04/2024,29869.0
30/04/2024,27578.0
02/05/2024,28200.0
03/05/2024,28381.0
06/05/2024,27688.0
07/05/2024,27791.0
08/05/2024,27967.0
